"ID","MODEL","PAR1","PAR2","PAR3","PAR4","ID.NEW","Group"
"MA0051","2PL",1.52346480694365,0.744302849504011,NA,NA,"MA0247","FT"
"MA0080","2PL",1.65374587573783,0.0523797591560214,NA,NA,"MA0248","GM"
"MA0088","2PL",1.46225326423032,-0.342409066663365,NA,NA,"MA0249","SP"
"MA0092","2PL",1.56846672914341,1.28027587694952,NA,NA,"MA0250","EE"
"MA0097","2PL",1.54401592643787,-1.33327813636328,NA,NA,"MA0251","SP"
"MA0099","2PL",1.76219453093732,-1.20061135239898,NA,NA,"MA0252","EE"
"MA0107","2PL",1.61774122757126,0.796564261971746,NA,NA,"MA0253","EE"
"MA0118","2PL",1.64543961882822,0.0342443620037914,NA,NA,"MA0254","FT"
"MA0119","2PL",1.44071393264126,1.18324610767407,NA,NA,"MA0255","GM"
"MA0133","2PL",1.55309757687327,1.22823576982672,NA,NA,"MA0256","GM"
"MA0137","2PL",1.66058027479816,-0.252065803052076,NA,NA,"MA0257","EE"
"MA0140","2PL",1.72171296868371,0.156013344344259,NA,NA,"MA0258","NS"
"MA0142","2PL",1.7186110898956,1.27695879174028,NA,NA,"MA0259","EE"
"MA0145","2PL",1.50843557495428,-1.18397971871089,NA,NA,"MA0260","SP"
"MA0154","2PL",1.45282321562883,-1.00762052985183,NA,NA,"MA0261","SP"
"MA0163","2PL",1.58143419126671,1.1408261234225,NA,NA,"MA0262","EE"
"MA0168","2PL",1.58855756869827,-0.825527357229204,NA,NA,"MA0263","GM"
"MA0177","2PL",1.42644930089617,0.867197806437803,NA,NA,"MA0264","EE"
"MA0182","2PL",1.55333094113838,1.05804763960333,NA,NA,"MA0265","EE"
"MA0193","2PL",1.5933238055166,-0.699398035410174,NA,NA,"MA0266","EE"
"MA0196","2PL",1.72270689668052,-1.03704179779397,NA,NA,"MA0267","EE"
"MA0207","2PL",1.57588783361184,1.34815935626089,NA,NA,"MA0268","GM"
"MA0221","2PL",1.43781463772012,-1.72456437715688,NA,NA,"MA0269","EE"
"MA0222","2PL",1.57673209725874,0.221161303598405,NA,NA,"MA0270","NS"
"MA0238","2PL",1.50497909845422,-1.26085936903873,NA,NA,"MA0271","SP"
"MA0245","2PL",1.69400556943759,1.4092611967118,NA,NA,"MA0272","NS"
"MA0258","2PL",1.76874206091643,1.26076783686412,NA,NA,"MA0273","GM"
"MA0281","2PL",1.42706198203024,1.07422246627032,NA,NA,"MA0274","GM"
